campaign_name,date,impressions,clicks,spend,conversions
Brand Awareness,2024-05-01,12000,1200,1500,30
Spring Sale,2024-05-02,8000,900,1100,22
Retargeting,2024-05-03,5000,600,700,15
Product Launch,2024-05-04,15000,1800,2000,40
Holiday Promo,2024-05-05,11000,1000,1300,25
Summer Sale,2024-05-06,9000,950,1200,20
Remarketing,2024-05-07,6000,700,800,16
Lead Gen,2024-05-08,13000,1400,1600,35
Brand Push,2024-05-09,10000,1100,1250,28
Awareness Plus,2024-05-10,14000,1500,1700,38
Conversion Max,2024-05-11,7000,800,900,18
Click Surge,2024-05-12,8000,850,1000,19
Engage More,2024-05-13,9500,1000,1100,21
Spring Boost,2024-05-14,10500,1200,1350,27
Q2 Launch,2024-05-15,11500,1300,1450,29
Brand Surge,2024-05-16,12500,1350,1550,32
Awareness Pro,2024-05-17,13500,1450,1650,36
Lead Magnet,2024-05-18,14500,1550,1750,39
Conversion Drive,2024-05-19,15500,1650,1850,41
Summer Push,2024-05-20,16500,1750,1950,44 