campaign_name,date,emails_sent,open_rate,click_rate,unsubscribes
Spring Newsletter,2024-05-01,5000,0.35,0.07,5
Promo Blast,2024-05-02,4000,0.32,0.06,3
Event Invite,2024-05-03,3000,0.40,0.09,2
Product Update,2024-05-04,3500,0.38,0.08,4
Summer Sale,2024-05-05,4500,0.36,0.07,3
Holiday Promo,2024-05-06,4200,0.34,0.06,2
Brand Push,2024-05-07,4800,0.37,0.08,4
Lead Magnet,2024-05-08,5100,0.39,0.09,5
Awareness,2024-05-09,5300,0.36,0.07,3
Engage More,2024-05-10,5500,0.38,0.08,4
Q2 Launch,2024-05-11,5700,0.37,0.08,4
Spring Boost,2024-05-12,5900,0.39,0.09,5
Conversion Max,2024-05-13,6100,0.40,0.10,6
Click Surge,2024-05-14,6300,0.41,0.11,6
Engagement,2024-05-15,6500,0.42,0.12,7
Brand Surge,2024-05-16,6700,0.43,0.13,7
Lead Surge,2024-05-17,6900,0.44,0.14,8
Awareness Pro,2024-05-18,7100,0.45,0.15,8
Summer Push,2024-05-19,7300,0.46,0.16,9
Holiday Connect,2024-05-20,7500,0.47,0.17,9 